ts_ms,metric_group,metric_name,metric_numeric_value,metric_text,labels
1779380619786,runtime,uptime_seconds,90.262,,{}
1779380619786,runtime,runtime_profile,,dry_run,{}
1779380619786,runtime,process_start_ts,1779380529.0,,{}
1779380619786,runtime,process_start_ts_ms,1779380529524.0,,{}
1779380619786,runtime,pid,42498.0,,{}
1779380619786,runtime,heartbeat_age_seconds,0.001,,{}
1779380619786,market_data,ws_connected,0.0,,{}
1779380619786,market_data,ws_disconnect_count,0.0,,{}
1779380619786,market_data,poll_ok,202.0,,{}
1779380619786,market_data,poll_err,0.0,,{}
1779380619786,market_data,poll_backoff_s,0.0,,{}
1779380619786,market_data,active_symbols,3.0,,{}
1779380619786,market_data,ready_symbols,0.0,,{}
1779380619786,market_data,ready_symbol_list,,,"{""value_json"": ""[]""}"
1779380619786,market_data,stale_symbols,,,"{""value_json"": ""[]""}"
1779380619786,market_data,stale_global,0.0,,{}
1779380619786,ml,feature_updates,196.0,,{}
1779380619786,ml,prediction_count,0.0,,{}
1779380619786,ml,candidate_count,0.0,,{}
1779380619786,ml,ranking_count,0.0,,{}
1779380619786,ml,signal_count,0.0,,{}
1779380619786,ml,inference_failures,0.0,,{}
1779380619786,ml,fallback_predictions,0.0,,{}
1779380619786,ml,last_refresh_ts_ms,,,{}
1779380619786,ml,last_ranking_ts_ms,,,{}
1779380619786,ml,top_symbols,,,"{""value_json"": ""[]""}"
1779380619786,ml,shadow_prediction_count,0.0,,{}
1779380619786,ml,shadow_candidate_count,0.0,,{}
1779380619786,ml,shadow_signal_count,0.0,,{}
1779380619786,ml,shadow_would_trade_count,0.0,,{}
1779380619786,ml,shadow_blocked_execution_count,0.0,,{}
1779380619786,ml,parity_check_count,0.0,,{}
1779380619786,ml,parity_failure_count,0.0,,{}
1779380619786,execution,fills,0.0,,{}
1779380619786,execution,open_positions,0.0,,{}
1779380619786,execution,exposure,0.0,,{}
1779380619786,execution,realized_pnl,0.0,,{}
1779380619786,execution,unrealized_pnl,0.0,,{}
1779380619786,execution,equity,100.0,,{}
1779380619786,execution,cash,100.0,,{}
1779380619786,execution,rejected_orders,0.0,,{}
1779380619786,execution,open_orders,0.0,,{}
1779380619786,execution,broker_realized_pnl,0.0,,{}
1779380619786,execution,broker_trades,0.0,,{}
1779380619786,execution,broker_wins,0.0,,{}
1779380619786,execution,broker_losses,0.0,,{}
1779380619786,execution,broker_win_rate,0.0,,{}
